"Word","frequency"
"a bad",686
"a beauti",586
"a better",748
"a big",1614
"a bit",2155
"a book",556
"a bunch",406
"a chanc",833
"a child",498
"a coupl",1608
"a day",1131
"a differ",852
"a few",4395
"a former",427
"a free",515
"a friend",733
"a full",448
"a game",579
"a girl",459
"a good",3812
"a great",3985
"a group",512
"a guy",449
"a half",406
"a huge",829
"a job",490
"a larg",714
"a littl",4117
"a long",1401
"a lot",4706
"a love",482
"a major",596
"a man",1006
"a million",463
"a month",703
"a more",546
"a new",3339
"a nice",758
"a number",480
"a part",479
"a person",763
"a place",549
"a pretti",434
"a real",645
"a realli",432
"a second",601
"a seri",419
"a short",427
"a singl",631
"a small",1048
"a special",513
"a statement",428
"a team",427
"a time",870
"a veri",1668
"a way",794
"a week",1113
"a while",907
"a whole",639
"a woman",659
"a wonder",601
"a year",1683
"a yearold",433
"a young",416
"abil to",637
"abl to",2929
"about a",1188
"about his",406
"about how",694
"about it",1592
"about my",427
"about that",547
"about the",4195
"about this",694
"about to",1107
"about what",602
"about you",482
"access to",506
"accord to",2427
"across the",1015
"addit to",469
"after a",1261
"after all",595
"after the",1990
"against the",1162
"agre to",453
"all about",613
"all day",753
"all i",836
"all in",426
"all my",731
"all of",2871
"all over",711
"all that",795
"all the",5164
"all this",445
"all you",434
"allow to",436
"along the",610
"along with",988
"also a",465
"am a",433
"am i",784
"am not",592
"am so",411
"among the",620
"amount of",852
"an amaz",507
"an email",408
"an hour",666
"and a",5946
"and all",1011
"and also",437
"and an",668
"and are",628
"and as",641
"and ask",411
"and at",478
"and be",723
"and do",539
"and even",706
"and for",876
"and get",1078
"and go",498
"and had",611
"and has",711
"and have",1185
"and he",1676
"and her",801
"and his",1722
"and how",841
"and i",8232
"and if",845
"and im",1204
"and in",1438
"and is",1123
"and it",4089
"and just",578
"and let",543
"and look",422
"and love",437
"and make",899
"and more",1057
"and my",1273
"and no",582
"and not",1205
"and now",876
"and of",483
"and on",575
"and one",709
"and other",1955
"and our",453
"and put",413
"and said",502
"and say",499
"and see",629
"and she",936
"and so",880
"and some",766
"and start",437
"and take",532
"and that",2601
"and the",12518
"and their",856
"and then",2895
"and there",976
"and they",1518
"and this",718
"and to",1234
"and tri",458
"and two",436
"and use",402
"and was",1035
"and we",1918
"and were",438
"and what",844
"and when",688
"and will",783
"and with",491
"and you",1586
"and your",871
"ani of",779
"ani other",489
"anyon els",400
"appear to",610
"are a",1337
"are all",634
"are go",759
"are in",951
"are just",441
"are not",1461
"are on",406
"are so",845
"are some",470
"are still",581
"are the",1970
"are you",2971
"around the",1648
"as a",6962
"as an",1128
"as he",997
"as i",2121
"as if",618
"as it",1380
"as long",535
"as mani",425
"as much",1039
"as part",420
"as she",464
"as the",4257
"as they",976
"as to",412
"as we",980
"as well",2970
"as you",919
"ask for",654
"ask me",505
"at a",2783
"at all",1376
"at am",787
"at his",408
"at home",888
"at it",654
"at least",3003
"at me",490
"at my",736
"at pm",1246
"at that",512
"at the",14489
"at this",1013
"at work",580
"attempt to",758
"away from",1067
"back and",732
"back in",1217
"back on",610
"back to",2980
"base on",1018
"be a",5423
"be abl",1573
"be an",736
"be at",612
"be back",431
"be done",426
"be in",1597
"be more",602
"be on",880
"be so",524
"be sure",497
"be the",2633
"be there",731
"be use",545
"becaus he",586
"becaus i",1498
"becaus it",1237
"becaus of",1662
"becaus the",852
"becaus they",822
"becaus you",420
"becom a",847
"been a",1481
"been in",506
"been the",405
"befor i",707
"befor the",1363
"begin to",547
"behind the",567
"believ in",546
"believ that",708
"best friend",492
"best of",433
"better than",972
"between the",845
"bit of",976
"bunch of",454
"but a",648
"but also",490
"but for",423
"but he",1172
"but i",5040
"but if",667
"but im",964
"but in",623
"but it",3507
"but not",961
"but she",491
"but that",1164
"but the",3077
"but then",466
"but there",709
"but they",902
"but this",600
"but we",908
"but what",403
"but when",554
"but you",884
"by a",1835
"by the",6062
"call for",654
"call it",538
"call me",587
"call the",838
"came out",474
"came to",672
"can be",2776
"can do",965
"can get",843
"can i",722
"can make",505
"can see",677
"can you",893
"cant believ",426
"cant wait",1887
"care about",455
"care of",480
"catch up",405
"chanc to",938
"chang the",619
"check it",406
"check out",1423
"close to",798
"come back",808
"come from",808
"come in",743
"come on",663
"come out",997
"come to",2383
"come up",797
"commit to",432
"continu to",1365
"contribut to",434
"cost of",441
"could be",1668
"could have",889
"could not",550
"coupl of",1212
"creat a",892
"day and",950
"day for",438
"day i",763
"day in",698
"day of",1347
"day to",811
"deal with",970
"decid to",1358
"depart of",555
"depend on",644
"did i",553
"did it",411
"did not",1644
"did the",415
"did you",1348
"didnt have",576
"didnt know",565
"director of",679
"do a",934
"do i",931
"do is",463
"do it",1988
"do not",1620
"do so",555
"do someth",587
"do that",905
"do the",1080
"do this",767
"do we",463
"do what",495
"do with",805
"do you",3143
